省份,品种名称,亲本来源,类型,原产地,审定编号
福建,榕夏两优676,榕夏S×福恢676,籼型两系杂交稻,福建省农业科学院水稻研究所,闽审稻20210013
福建,澜优粤禾丝苗,澜达A×粤禾丝苗,籼型三系杂交稻,福建省农业科学院水稻研究所等,闽审稻20190031
福建,元两优1725,元亨S×福恢1725,籼型两系杂交稻,福建省农业科学院水稻研究所,闽审稻20210012
福建,野香优639,野香A×福恢639,籼型三系杂交稻,福建禾丰种业股份有限公司等,闽审稻20190030
福建,旌3优164,旌3A×明恢164,籼型三系杂交稻,福建农乐种业有限公司等,闽审稻20210011
福建,甬优5518,甬粳55A×F4918,籼粳交三系杂交稻,宁波市种子有限公司,闽审稻20190029
浙江,嘉育143,嘉育293×Z94-207,籼型常规稻,浙江省嘉兴市农业科学院,浙审稻2003003
福建,两优8676,Bph68S×福恢676,籼型两系杂交稻,福建省农业科学院水稻研究所等,闽审稻20210010
福建,泸优6169,泸香618A×乐恢6169,籼型三系杂交稻,福建农乐种业有限公司等,闽审稻20190028
福建,荃优639,荃9311A×福恢639,籼型三系杂交稻,福建省农业科学院水稻研究所等,闽审稻20190027
浙江,中早21,中早5号/嘉香3号×中优早81/科庆HA-7,籼型常规稻,中国水稻研究所,浙审稻2003002
浙江,秀水1813,BR75×BR41,粳型常规稻,嘉兴市农业科学研究院,浙审稻2022004
福建,荃优6863,荃9311A×禾恢6863,籼型三系杂交稻,福建禾丰种业股份有限公司等,闽审稻20210009
福建,柏两优533,柏农S×荟恢533,籼型两系杂交稻,科荟种业股份有限公司,闽审稻20200040
福建,福农优9802,福农A×粤恢9802,籼型三系杂交稻,福建省农业科学院水稻研究所等,闽审稻20190026
浙江,中235S,C815S×湘陵628S,籼型不育系,中国水稻研究所,浙审稻（不育系）2024006
浙江,嘉早312,嘉早935/Z95-05×Z96-10,籼型常规稻,浙江省嘉兴市农业科学研究所,浙审稻2003001
浙江,金早51,甬籼142×金11-02,籼型常规稻,金华市农业科学研究院,浙审稻2022003
福建,华元优533,华元3A×荟恢533,籼型三系杂交稻,科荟种业股份有限公司,闽审稻20200039
福建,内10优164,内香10A×明恢164,籼型三系杂交稻,三明市农业科学研究院等,闽审稻20190025
浙江,甬粳14A,甬粳67A×甬粳14B,粳型不育系,宁波种业股份有限公司,浙审稻（不育系）2024005
福建,野香优6833,野香A×禾恢6833,籼型三系杂交稻,福建禾丰种业股份有限公司等,闽审稻20210008
浙江,八优8号,8204A×R9525,粳型三系杂交稻,浙江省农业科学院作物与核技术利用研究所,浙品审字第380号
福建,泰谷优466,泰谷A×荟恢466,籼型三系杂交稻,科荟种业股份有限公司,闽审稻20200038
福建,福农A,谷丰A×福农B,籼型不育系,福建省农业科学院水稻研究所,闽审稻20180029
浙江,台科早3号,甬籼975×Z10-142,籼型常规稻,台州市农业科学研究院等,浙审稻2022002
福建,杉谷优533,杉谷A×荟恢533,籼型三系杂交稻,福建省农业科学院生物技术研究所等,闽审稻20210007
福建,明德S,GD-7S×三明显性核不育单株/Rathu heenati/...,籼型不育系,三明市农业科学研究院,闽审稻20220107
浙江,春江137A,春江16A×春江137B,粳型不育系,中国水稻研究所,浙审稻（不育系）2024004
浙江,浙1831,浙1108×嘉育938,籼型常规稻,浙江省农业科学院作物与核技术利用研究所,浙审稻2022001
福建,东联早2号,东联占×佳禾早占,籼型常规稻,南安市码头东联农业科技示范场,闽审稻20210006
浙江,甬优3号,甬粳2号A×K1863,粳型三系杂交稻,宁波市农业科学研究院等,浙品审字第379号
福建,宁12A,谷丰A×宁12B,籼型不育系,宁德市农业科学研究所,闽审稻20180028
福建,B两优164,Bph68S×明恢164,籼型两系杂交稻,三明市农业科学研究院等,闽审稻20190024
福建,野香优靓占,野香A×靓占,籼型三系杂交稻,江西省农业科学院水稻研究所,闽审稻20200037
福建,神农39,97香×IR58025B,籼型常规稻,福建神农大丰种业科技有限公司,闽审稻20200036
浙江,嘉1S,哈勃1S×B8,粳型不育系,嘉兴市农业科学研究院等,浙审稻（不育系）2022017
浙江,春江82A,春江16A×春江82B,粳型不育系,中国水稻研究所,浙审稻（不育系）2024003
浙江,Ⅱ优7954,Ⅱ-32A×浙恢7954,籼型三系杂交稻,浙江省农业科学院作物与核技术利用研究所,浙品审字第378号
福建,安丰优3510,安丰A×闽恢3510,籼型三系杂交稻,福建省农业科学院生物技术研究所等,闽审稻20190023
