省份,品种名称,亲本来源,类型,原产地,审定编号,审定方,审定序号,母本,审定公司
湖南,桃优玉珍,桃农1A×玉珍,籼型三系杂交稻,袁氏种业高科技有限公司等,湘审稻20210033,湘审稻,20210033,桃农1A,袁氏种业高科技有限公司
湖南,安两优2号,安1S×低镉2号,籼型两系杂交稻,湖南金健种业科技有限公司等,湘审稻20244007,湘审稻,20244007,安1S,湖南金健种业科技有限公司
湖南,桃优玉晶,桃农1A×玉晶,籼型三系杂交稻,袁氏种业高科技有限公司等,湘审稻20210032,湘审稻,20210032,桃农1A,袁氏种业高科技有限公司
湖南,清莲香占,低镉1号×香占,籼型常规稻,湖南金健种业科技有限公司等,湘审稻20244006,湘审稻,20244006,低镉1号,湖南金健种业科技有限公司
湖南,金科丝苗5号,黄软占×合丰占,籼型常规稻,深圳隆平金谷种业有限公司等,湘审稻20210031,湘审稻,20210031,黄软占,深圳隆平金谷种业有限公司
湖南,清莲丝苗,丝苗×低镉1号,籼型常规稻,湖南金健种业科技有限公司等,湘审稻20244005,湘审稻,20244005,丝苗,湖南金健种业科技有限公司
湖南,兴糯优4483,兴糯A×R4483,籼型三系杂交稻,湖南兴隆种业有限公司等,湘审稻20244004,湘审稻,20244004,兴糯A,湖南兴隆种业有限公司
湖南,民升优6176,民升A×R6176,籼型三系杂交稻,袁隆平农业高科技股份有限公司等,湘审稻20210030,湘审稻,20210030,民升A,袁隆平农业高科技股份有限公司
湖南,轩两优1597,轩S×R1597,籼型两系杂交稻,袁隆平农业高科技股份有限公司等,湘审稻20210029,湘审稻,20210029,轩S,袁隆平农业高科技股份有限公司
湖南,隆8优5438,隆8A×华恢5438,籼型三系杂交稻,袁隆平农业高科技股份有限公司等,湘审稻20206002,湘审稻,20206002,隆8A,袁隆平农业高科技股份有限公司
湖南,珂两优1273,华珂226S×华恢1273,籼型两系杂交稻,袁隆平农业高科技股份有限公司等,湘审稻20206001,湘审稻,20206001,华珂226S,袁隆平农业高科技股份有限公司
湖南,隆糯两优6号,隆糯18S×华糯6号,籼型两系杂交稻,袁隆平农业高科技股份有限公司等,湘审稻20244003,湘审稻,20244003,隆糯18S,袁隆平农业高科技股份有限公司
湖南,深优1234,深95A×华恢1234,籼型三系杂交稻,袁隆平农业高科技股份有限公司等,湘审稻20190073,湘审稻,20190073,深95A,袁隆平农业高科技股份有限公司
湖南,韵两优7484,韵2013S×R7484,籼型两系杂交稻,袁隆平农业高科技股份有限公司等,湘审稻20210028,湘审稻,20210028,韵2013S,袁隆平农业高科技股份有限公司
湖南,绿银占,黄银占×丰粤占,籼型常规稻,深圳隆平金谷种业有限公司,湘审稻20190072,湘审稻,20190072,黄银占,深圳隆平金谷种业有限公司
湖南,赞两优13,赞6158S×GR13,籼型两系杂交稻,袁隆平农业高科技股份有限公司等,湘审稻20200064,湘审稻,20200064,赞6158S,袁隆平农业高科技股份有限公司
湖南,旗两优6176,旗482S×R6176,籼型两系杂交稻,袁隆平农业高科技股份有限公司等,湘审稻20210027,湘审稻,20210027,旗482S,袁隆平农业高科技股份有限公司
湖南,清莲丝占,丝占×低镉1号,籼型常规稻,湖南金健种业科技有限公司等,湘审稻20244002,湘审稻,20244002,丝占,湖南金健种业科技有限公司
湖南,泰优068,泰丰A×康农R06,籼型三系杂交稻,湖北康农种业股份有限公司等,湘审稻20190071,湘审稻,20190071,泰丰A,湖北康农种业股份有限公司
湖南,恒两优华占,恒59S×华占,籼型两系杂交稻,湖南恒德种业科技有限公司等,湘审稻20190070,湘审稻,20190070,恒59S,湖南恒德种业科技有限公司
湖南,韵两优6176,韵2013S×R6176,籼型两系杂交稻,袁隆平农业高科技股份有限公司等,湘审稻20210026,湘审稻,20210026,韵2013S,袁隆平农业高科技股份有限公司
湖南,韵两优6937,韵2013S×R6937,籼型两系杂交稻,袁隆平农业高科技股份有限公司等,湘审稻20210025,湘审稻,20210025,韵2013S,袁隆平农业高科技股份有限公司
湖南,C两优9号,C815S×70124,籼型两系杂交稻,湖南农业大学,湘审稻2012013,湘审稻,2012013,C815S,湖南农业大学
湖南,丰源优263,丰源A×湘恢263,籼型三系杂交稻,怀化职业技术学院等,湘审稻2012012,湘审稻,2012012,丰源A,怀化职业技术学院
湖南,内5优263,内香5A×湘恢263,籼型三系杂交稻,怀化职业技术学院等,湘审稻2012011,湘审稻,2012011,内香5A,怀化职业技术学院
湖南,广两优2010,广占63-4S×R2010,籼型两系杂交稻,袁隆平农业高科技股份有限公司,湘审稻2012010,湘审稻,2012010,广占63-4S,袁隆平农业高科技股份有限公司
湖南,C两优651,C815S×湘丰651,籼型两系杂交稻,湖南丰源种业有限责任公司等,湘审稻2012009,湘审稻,2012009,C815S,湖南丰源种业有限责任公司
湖南,皖稻93,X07S×Wh16,籼型两系杂交稻,宣城市农业科学研究所,湘审稻2012008,湘审稻,2012008,X07S,宣城市农业科学研究所
